date,steps,distance,runDistance,calories
2019-06-23,896,586,113,28
2019-06-24,25442,18379,686,620
2019-06-25,19838,14538,500,502
2019-06-26,15353,11344,424,404
2019-06-27,22364,15842,655,542
2019-06-28,15982,11594,391,395
2019-06-29,1308,891,109,33
2019-06-30,2535,1785,98,68
2019-07-01,4247,3265,66,123
2019-07-02,14359,10393,953,358
2019-07-03,2501,1671,98,53
2019-07-04,2601,1778,106,65
2019-07-05,17430,12009,486,389
2019-07-06,1470,961,124,37
2019-07-07,1225,825,103,33
2019-07-08,863,564,189,25
2019-07-09,19323,13642,432,467
2019-07-10,16509,11419,710,375
2019-07-11,12855,9154,934,322
2019-07-12,14208,10057,679,352
2019-07-13,1966,1286,179,49
2019-07-14,11100,7778,358,250
2019-07-15,6660,4905,94,171
2019-07-16,1946,1399,107,52
2019-07-17,9969,7343,155,258
2019-07-18,1868,1222,168,46
2019-07-19,1946,1341,61,48
2019-07-20,8349,5670,254,188
2019-07-21,2371,1701,194,64
2019-07-22,7379,5429,367,200
2019-07-23,1784,1230,118,45
2019-07-24,1178,847,73,36
2019-07-25,2798,1948,100,69
2019-07-26,10889,7514,311,246
2019-07-27,437,286,28,13
2019-07-28,988,671,41,24
2019-07-29,5085,3692,350,136
2019-07-30,1969,1452,122,58
2019-07-31,14917,10829,580,379
2019-08-01,496,324,96,14
2019-08-02,16519,11670,762,382
2019-08-03,15366,11026,520,362
2019-08-04,2025,1416,143,53
2019-08-05,27257,19688,548,639
2019-08-06,15754,11568,281,390
2019-08-07,16187,11861,573,395
2019-08-08,13564,9786,769,328
2019-08-09,31832,23625,1374,829
2019-08-10,1323,936,106,38
2019-08-11,3024,2166,119,76
2019-08-12,19085,13760,1296,470
2019-08-13,14217,10299,466,351
2019-08-14,15783,11442,696,391
2019-08-15,16162,11739,745,409
2019-08-16,19912,14497,603,485
2019-08-17,2618,1896,102,69
2019-08-18,2743,1996,138,78
2019-08-19,15541,11348,1163,393
2019-08-20,15405,11472,424,402
2019-08-21,12317,9019,846,310
2019-08-22,13544,9634,790,336
2019-08-23,15878,11083,368,366
2019-08-24,11224,8067,722,276
2019-08-25,1196,810,68,30
2019-08-26,13557,9673,525,319
2019-08-27,13506,9614,459,322
2019-08-28,14371,10287,717,352
2019-08-29,13208,9591,291,331
2019-08-30,16469,12054,799,417
2019-08-31,2360,1689,122,60
2019-09-01,2654,1883,121,71
2019-09-02,14224,10334,1055,353
2019-09-03,11101,8013,272,273
2019-09-04,12222,8910,988,307
2019-09-05,11205,8251,522,295
2019-09-06,17622,12740,600,425
2019-09-07,13104,9323,741,331
2019-09-08,1099,744,181,30
2019-09-09,13468,9924,577,342
2019-09-10,14920,10827,460,371
2019-09-11,11665,8495,797,289
2019-09-12,11923,8547,733,291
2019-09-13,21371,15678,474,532
2019-09-14,1663,1187,77,44
2019-09-15,1483,993,102,40
2019-09-16,878,574,155,28
2019-09-17,11441,8337,474,286
2019-09-18,11192,8028,543,274
2019-09-19,13305,9563,498,322
2019-09-20,12329,8916,266,293
2019-09-21,305,199,47,10
2019-09-22,1718,1230,98,49
2019-09-23,14475,10682,712,372
2019-09-24,11232,8183,460,278
2019-09-25,9575,7097,650,253
2019-09-26,14401,10546,849,380
2019-09-27,22020,15405,553,487
2019-09-28,2177,1556,82,56
2019-09-29,989,647,86,30
2019-09-30,11809,8670,1071,306
2019-10-01,12805,9316,591,334
2019-10-02,6433,4827,294,179
2019-10-03,15024,10763,711,373
2019-10-04,10761,7652,482,258
2019-10-05,2347,1758,67,65
